input,target
ting,thing
dis,this
aks,ask
lef,left
han,hand
hia,here
dea,there
I bin go,I went
He done eat,He has eaten
He runnin’,He is running
They playin’,They are playing
I didn’t do nothing,I didn’t do anything
two girl,two girls
the car belong my father,my father's car
mob,family/community
Group/family/community,family/community
feel shame,feels shy/awkward
Feeling shy/modest/respectful,feels shy/awkward
deadly,very good/excellent
Very good/excellent,very good/excellent
Country,ancestral homeland
Ancestral homeland,ancestral homeland
sorry business,mourning / bereavement
Mourning rituals and obligations,mourning / bereavement
camp,home
Home/camp,home
yarning,storytelling
Story-based sharing,storytelling
brother/sister,brothers/sisters (kin)
Broader than biological,brothers/sisters (kin)
finish,finished
Task completed,finished
deadly,good
Good,good
rubbish,bad
Bad,bad
quick,fast
Fast,fast
slack,slow
Slow,slow
tomorra,tomorrow
Tomorrow,tomorrow
yestaday,yesterday
Yesterday,yesterday
bigfella,big
Big,big
lilfella,small
Small,small
camp,house/home
House/home,house/home
job,work/job
Work/job,work/job
schoolhouse,school
School,school
walkabout,walk
Walk,walk
yarn,talk
Talk,talk
corroboree,dance
Dance (ceremony),dance
saltwater,sea
Sea,sea
river,river
River,river
island,island
Island,island
tree,tree
Tree,tree
rain,rain
Rain,rain
sun,sun
Sun,sun
feel hot / got fever,I have a fever
High body temperature; feverish,I have a fever
I have a fever,Fever
got cough,I have a cough
Coughing fits; with/without mucus,I have a cough
I have a cough,Cough
short wind / hard to breathe,I am short of breath
Hard to breathe,I am short of breath
I am short of breath,Shortness of breath
got wheeze / noisy chest,I am wheezing
Whistling sound when breathing,I am wheezing
I am wheezing,Wheeze
chest sore / chest tight,I have chest pain
Pain or tight feeling in the chest,I have chest pain
I have chest pain,Chest pain
throat sore,I have a sore throat
Pain in throat,I have a sore throat
I have a sore throat,Sore throat
runny nose,I have a runny nose
Nose dripping,I have a runny nose
I have a runny nose,Runny nose
sore head,I have a headache
Pain in head,I have a headache
I have a headache,Headache
head spin,I feel dizzy
Feeling the head spinning,I feel dizzy
I feel dizzy,Dizziness
sick in the stomach,I feel nauseous
Feeling sick in the stomach,I feel nauseous
I feel nauseous,Nausea
spewin’ / throwing up,I am vomiting
Throwing up,I am vomiting
I am vomiting,Vomiting
runny poo,I have diarrhoea
Runny poo,I have diarrhoea
I have diarrhoea,Diarrhoea
belly sore,I have stomach pain
Belly pain,I have stomach pain
I have stomach pain,Abdominal pain
back sore,I have back pain
Pain in back,I have back pain
I have back pain,Back pain
joints sore,My joints hurt
Pain in joints,My joints hurt
My joints hurt,Joint pain
skin rash / skin no good,I have a rash
Skin rash,I have a rash
I have a rash,Rash
no strength / feel weak,I feel weak
No strength,I feel weak
I feel weak,Weakness
I tired,I feel tired
Very tired,I feel tired
I feel tired,Fatigue
mind mixed up,I feel confused
"Mixed up, not clear",I feel confused
I feel confused,Confusion
bleeding / blood coming out,I am bleeding
Blood coming out,I am bleeding
I am bleeding,Bleeding
head,head
Head,head
chest,chest
Chest,chest
belly,stomach/belly
Belly,stomach/belly
stomach/belly,Stomach
back,back
Back,back
leg,leg
Leg,leg
arm,arm
Arm,arm
Hand,hand
foot,foot
Foot,foot
eye,eye
Eye,eye
ear,ear
Ear,ear
skin,skin
Skin,skin
throat,throat
Throat,throat
got sugar / sugar sickness,I have diabetes
Body can’t control sugar levels; needs insulin; 'sugar diabetes/sugar sickness',I have diabetes
I have diabetes,Diabetes
asthma / breathing sickness,I have asthma
"Airways red and swollen; harder to breathe; symptoms: short breath, wheeze, cough, chest tight",I have asthma
I have asthma,Asthma
high pressure,I have high blood pressure
High blood pressure,I have high blood pressure
I have high blood pressure,Hypertension
bad heart / heart problem,I have heart disease
Fat builds up in heart blood pipes,I have heart disease
I have heart disease,Heart disease
kidney no good / kidney problem,I have kidney problems
Kidneys not working well,I have kidney problems
I have kidney problems,Kidney disease
pregnant / got baby,I am pregnant
Growing a baby,I am pregnant
I am pregnant,Pregnancy
chest infection,I have pneumonia
Chest infection in the lungs,I have pneumonia
I have pneumonia,Pneumonia
got flu,I have the flu
"Flu virus causing fever, cough",I have the flu
I have the flu,Influenza
got COVID / sick with COVID,I think I have COVID
"Viral infection with cough/fever, can cause trouble breathing",I think I have COVID
I think I have COVID,COVID-19
bad germ from ground,I might have melioidosis
"Serious sickness from soil/water in wet season; short breath, cough, fever",I might have melioidosis
I might have melioidosis,Melioidosis
rheumatic heart/fever,I had rheumatic fever
Rheumatic fever/heart disease from Strep; needs antibiotics,I had rheumatic fever
I had rheumatic fever,ARF/RHD
I worried too much,I have anxiety
"Worried a lot, hard to relax",I have anxiety
I have anxiety,Anxiety
feelin’ down long time,I have depression
Very sad for a long time,I have depression
I have depression,Depression
need see doctor,I need to see a doctor
Need to see a doctor,I need to see a doctor
need medicine,I need medicine
Need medicine,I need medicine
need tablet for pain,I need painkillers
Need pain tablets,I need painkillers
need ambulance,I need an ambulance
Need ambulance,I need an ambulance
need go hospital,I need to go to hospital
Go to hospital,I need to go to hospital
need water,I need water
Drink water / rehydrate,I need water
I rest,I want to rest
Rest,I want to rest
keep eye on him,Keep watching him closely
Keep watching closely,Keep watching him closely
from yestaday,since yesterday
Since yesterday,since yesterday
for two day,for two days
For two days,for two days
from last week,since last week
Since last week,since last week
a little bit bad / proper bad,mild / moderate / severe
Mild/Moderate/Severe,mild / moderate / severe
sore eyes,I have sore eyes
Eyes red or itchy,I have sore eyes
I have sore eyes,Sore eyes
ear sore,I have earache
Ear is sore,I have earache
I have earache,Earache
tooth sore,I have toothache
Tooth is sore,I have toothache
I have toothache,Toothache
hard to do poo,I am constipated
Hard poo / can’t go,I am constipated
I am constipated,Constipation
blood in poo,There is blood in my stool
Blood in poo,There is blood in my stool
There is blood in my stool,Blood in stool
blood in wee,There is blood in my urine
Blood in wee,There is blood in my urine
There is blood in my urine,Blood in urine
wee burn / wee sore,It burns when I pee
Wee burns / hurts,It burns when I pee
It burns when I pee,Burning when urinating
swollen / puffy,I am swollen
Puffy / swollen,I am swollen
I am swollen,Swelling
bruise,I have a bruise
Blue/black skin from hit,I have a bruise
I have a bruise,Bruise
I pass out,I fainted
Pass out,I fainted
I fainted,Fainting
shaking fit,They had a seizure
Shaking fit,They had a seizure
They had a seizure,Seizure
bad reaction,I have an allergic reaction
Bad reaction to food/medicine,I have an allergic reaction
I have an allergic reaction,Allergic reaction
skin itchy,My skin is itchy
Skin itchy,My skin is itchy
My skin is itchy,Itch
too dry / no water in body,I am dehydrated
Too dry / not enough water,I am dehydrated
I am dehydrated,Dehydration
heat make me sick,I have heat stress
Too hot / feel sick from heat,I have heat stress
I have heat stress,Heat stress
ear infection / bad ear,I have a middle ear infection
Ear infection behind eardrum,I have a middle ear infection
I have a middle ear infection,Otitis media
sore eyes / eye infection,I have conjunctivitis
Eye infection; red/itchy eyes,I have conjunctivitis
I have conjunctivitis,Conjunctivitis
skin mites / scabies,I have scabies
Skin mites cause itchy rash,I have scabies
I have scabies,Scabies
skin sores / school sores,I have school sores
Germ sores on skin (school sores),I have school sores
I have school sores,Impetigo (skin sores)
skin infection,I have cellulitis
"Skin infection; hot, red, sore",I have cellulitis
I have cellulitis,Cellulitis
boil / pus lump,I have a boil
Pus lump under skin,I have a boil
I have a boil,Abscess/boil
wee infection / water infection,I have a UTI
Germ in wee pipe / bladder,I have a UTI
I have a UTI,Urinary tract infection
gastro / tummy bug,I have gastro
Germ in belly: runny poo and spew,I have gastro
I have gastro,Gastroenteritis
chest infection / bad chest,I have bronchitis
Chest infection in air pipes,I have bronchitis
I have bronchitis,Bronchitis
lung collapse / bad air around lung,I have a collapsed lung
Air leak around lung,I have a collapsed lung
I have a collapsed lung,Pneumothorax
bone broken,I broke a bone
Broken bone,I broke a bone
I broke a bone,Fracture
ankle sprain / twist,I sprained my ankle
Stretched/torn ligaments,I sprained my ankle
I sprained my ankle,Sprain
got burn,I got burned
Skin burned by heat/fire,I got burned
I got burned,Burn
poison make me sick,I have poisoning
Bad chemical/medicine/food made me sick,I have poisoning
I have poisoning,Poisoning
snake bite,I got snake bite
Bitten by snake,I got snake bite
I got snake bite,Snake bite
dog bite,Dog bit me
Bitten by dog,Dog bit me
Dog bit me,Dog bite
sickness from sex / STI,I have an STI
Germ passed during sex,I have an STI
I have an STI,Sexually transmitted infection (STI)
chlamydia,I have chlamydia
A common STI,I have chlamydia
I have chlamydia,Chlamydia
gonorrhoea,I have gonorrhoea
A common STI,I have gonorrhoea
I have gonorrhoea,Gonorrhoea
syphilis,I have syphilis
Serious STI; needs penicillin,I have syphilis
I have syphilis,Syphilis
hep B / liver sickness,I have Hep B
Germ hurts liver,I have Hep B
I have Hep B,Hepatitis B
hep C / liver sickness,I have Hep C
Germ hurts liver,I have Hep C
I have Hep C,Hepatitis C
outer ear infection,I have outer ear infection
Ear canal infection (swimmer’s ear),I have outer ear infection
I have outer ear infection,Otitis externa
sinus infection,I have sinusitis
Infection in sinus,I have sinusitis
I have sinusitis,Sinusitis
tonsils sore / throat infection,I have tonsillitis
Infection in tonsils; sore throat,I have tonsillitis
I have tonsillitis,Tonsillitis
breast infection,I have mastitis
Breast infection (lactating),I have mastitis
I have mastitis,Mastitis
low blood / low iron,I have anaemia
Low blood / low iron,I have anaemia
I have anaemia,Anaemia
low sugar,I have low sugar
Low sugar; shaky/sweaty,I have low sugar
I have low sugar,Hypoglycaemia
high sugar,I have high sugar
High sugar; thirsty/wee a lot,I have high sugar
I have high sugar,Hyperglycaemia
stroke / brain attack,I think it’s a stroke
Blood not going to brain,I think it’s a stroke
I think it’s a stroke,Stroke
bad blood infection,I have sepsis
Bad blood infection; very sick,I have sepsis
I have sepsis,Sepsis
bad lungs long time,I have COPD
Long-term bad lungs,I have COPD
I have COPD,COPD
need baby check-up,I need antenatal care
Care for pregnant woman before baby comes,I need antenatal care
I need antenatal care,Antenatal care
tummy tighten / pains coming,I have contractions
Tummy tightenings before baby comes,I have contractions
I have contractions,Contractions
baby coming time,I am in labour
Time when baby coming out,I am in labour
I am in labour,Labour
lost the baby,I had a miscarriage
Baby lost before due time,I had a miscarriage
I had a miscarriage,Miscarriage
bleeding while pregnant,I have bleeding in pregnancy
Bleeding from vagina when pregnant,I have bleeding in pregnancy
I have bleeding in pregnancy,Bleeding in pregnancy
baby not putting on weight,My baby not growing
Baby not growing well,My baby not growing
My baby not growing,Failure to thrive
baby/child feel hot,My child has fever
Hot baby / hot child,My child has fever
My child has fever,Fever in child
baby had a fit from fever,My child had a convulsion
Fit from fever in child,My child had a convulsion
My child had a convulsion,Febrile convulsion
Worried a lot; heart racing,I have anxiety
Very sad long time,I have depression
too much grog / drunk,They are intoxicated
Drunk; unsafe to care for self,They are intoxicated
They are intoxicated,Alcohol intoxication
shaking from no grog,He is in withdrawal
Shakes/sweats when stop grog,He is in withdrawal
He is in withdrawal,Alcohol withdrawal
I smoke / smoke tobacco,I smoke
Smokes cigarettes,I smoke
I smoke,Smoking / tobacco use
I use gunja / ice,I use drugs
Using drugs like gunja/ice,I use drugs
I use drugs,Substance use
need germ-killing tablet,You need antibiotics
Medicine that kills germs,You need antibiotics
You need antibiotics,Take antibiotics
take pain tablet / paracetamol,Take paracetamol
Pain and fever tablet,Take paracetamol
drink salty-sweet water,Drink rehydration fluid
Drink water with salts/sugar,Drink rehydration fluid
Drink rehydration fluid,Oral rehydration
keep sore clean and covered,Keep the wound clean
Keep it clean and covered,Keep the wound clean
Keep the wound clean,Wound care
come back if get worse,Come back if worse
Come back if getting worse,Come back if worse
Come back if worse,Return if worse
come back in two day,Come back in 2 days
See clinic again in 2 days,Come back in 2 days
Come back in 2 days,Follow-up
keep away from others,Stay isolated
Stay away so others don’t get sick,Stay isolated
Stay isolated,Isolation
little bit bad,Mild
A little bit sick,Mild
proper bad (need clinic),Moderate
Sicker; needs clinic today,Moderate
real bad (need ambulance now),Severe
Very sick; needs ambulance,Severe
I finish them tablet,I finished the course
All tablets taken,I finished the course
I finished the course,I finished all tablets
I didn’t eat nothing,I haven’t eaten
No food eaten,I haven’t eaten
pain more bad now,Pain worse now
Pain worse than before,Pain worse now
Pain worse now,Pain is getting worse
She got heart go fast.,I have rapid heartbeat.
Them kids got body weak.,He has body weakness.
That one got shiverin’.,He has shivering.
Me got body weak.,I have been experiencing body weakness.
I bin throwin’ up.,The children have vomiting.
I bin belly pain.,The child has abdominal pain.
My cryin’ lot.,The children have crying a lot.
That one got eyes blurry.,He has blurred vision.
My cryin’ lot.,She has crying a lot.
Old fella got back sore.,He has back pain.
I bin blood nose.,The elderly man has nosebleed.
She got belly pain.,I have abdominal pain.
She got heart go fast.,She has rapid heartbeat.
Old fella got ear sore.,She has earache.
That one got leg swell up.,He has swollen leg.
This one got cryin’ lot.,The children have crying a lot.
He got heart go fast.,I have rapid heartbeat.
She got leg swell up.,I have been experiencing swollen leg.
That one got hungry all time.,My increased appetite.
Me got sore throat.,The child has sore throat.
Me got body weak.,She has body weakness.
Me got skin rash.,I have skin rash.
This one got cryin’ lot.,The child has crying a lot.
Them kids got cough bad.,She has severe cough.
This one got skin rash.,The children have skin rash.
Them kids got can’t breathe good.,The children have shortness of breath.
Lil one got can’t breathe good.,The children have shortness of breath.
My belly pain.,My abdominal pain.
She got belly pain.,The elderly man has abdominal pain.
He got shiverin’.,The children have shivering.
Them kids got cryin’ lot.,The child has crying a lot.
My drink water plenty.,The children have excessive thirst.
She got blood nose.,That person has nosebleed.
He got blood nose.,The child has nosebleed.
My blood nose.,He has nosebleed.
Them kids got belly pain.,She has abdominal pain.
Lil one got blood nose.,I have been experiencing nosebleed.
She got ear sore.,The child has earache.
Me got throwin’ up.,The elderly man has vomiting.
Old fella got can’t walk good.,The elderly man has difficulty walking.
Them kids got hungry all time.,That person has increased appetite.
He got body weak.,I have body weakness.
My cryin’ lot.,That person has crying a lot.
I bin talkin’ funny.,The elderly man has slurred speech.
She got chest tight.,This person has chest tightness.
He got shiverin’.,That person has shivering.
She got ear sore.,I have earache.
He got talkin’ funny.,He has slurred speech.
Old fella got leg swell up.,I have swollen leg.
Them kids got skin rash.,The child has skin rash.
I bin hungry all time.,My increased appetite.
Me got head hurtin’.,The elderly man has headache.
That one got heart go fast.,I have been experiencing rapid heartbeat.
Old fella got heart go fast.,I have been experiencing rapid heartbeat.
Lil one got sore throat.,The children have sore throat.
Them kids got drink water plenty.,This person has excessive thirst.
That one got ear sore.,I have been experiencing earache.
Them kids got hungry all time.,I have been experiencing increased appetite.
That one got heart go fast.,That person has rapid heartbeat.
