input,target
feel sick / unwell,ngangkaṟi
stomach pain,kuwi ngangkari
headache,kurunpa purunypa
chest pain,ngangkaṟi tjutaku paku
back pain,kuti kunpu
leg pain,watingka purunypa
foot pain,Ngayulu tjuku-tjuku wangka.
hand pain,Mara ngangkanya
eye pain,mukulpa ngangkuringanyi
ear pain,Tjarlirangu palyantja
throat pain,kuru mulapa
coughing,ngunytju
have a fever,ngayulu ngalkunypa rupanya
have a high temperature,kulini wangka tjuntji watiku
have the flu,ngayulu flu nya-ngu
have a cold,ngayulu nyuntumpa kulyakula nyinanyi
runny nose,ngangka nyinanyi mukulpa
blocked nose,ngangkaṉya kurku
feeling dizzy,ngayulu wangkaringkupai
feeling weak,kurunpa palya wiya
feeling tired,ngula ngakunya paluru wiya
shortness of breath,kurunpa winki
difficulty breathing,kurunpa mukuringka
stomach bloating,kuwari-ngka kulini paṉu watiya
bleeding,kanyini tata
bleeding,Kurunpa
have a cut,ngka wiya
had a fall,pakatjara
injured myself,Ngayulu palu ngangka.
broken bone,kuli pakantja
arm injury,mara ngayuku ngangkula
difficulty walking,nganytjurra wangkanyi
leg paralysis,wilu tjapa
twisted ankle,tjitji wiya tjuta tjunu or tjintirpa alatji wiya
back strain,kawalpiri tjana
toothache,ngangkari palyurku
blurry vision,muku wangkapai
poor vision,wangkara wangkanyi
hearing loss,kula kutjupa
skin irritation,kuntili nyinanyi
skin rash,tjanpi ngunytju-ngunytju
itching,tjuni
mouth ulcer,ngalya nyunngu
vomiting,kuntili
diarrhoea,palalya
diarrhoea,palalya
nausea,mirrka kanyinytji
feeling nauseous,utunngu nyinanyi
loss of appetite,mangka nyunnga
loss of taste,tjanma winkiwanu
loss of smell,mirri kutjupa mulapa nyinanyi
diabetes,tjukurpa ngalanya
high blood pressure,mirrka ngarala palyala
heart problem,ngangka?i pu?u
heart pain / angina,ku?unypa ngangka / angina
kidney problem,kurntili wiru palya wiya
liver problem,yakapiri tjutaku pu?ka
lung disease,ngangkari tjunku wiya
asthma,ngangka?i kutitjara
chronic cough,ngangka?i kutjupa tjunanyi
numbness,kukurpa wiyaringanyi
tremor,ngangkari
seizures,pangkupai
insomnia,nguru-pakatjara
oversleeping,nyinanyi mukuringanyi
body aches,ngangkali wiya
joint pain,putu kura
knee pain,kunyu ngangkari
feeling shy / embarrassed,kunpu ngulaju / kunyungu ngulaju
feeling anxious,ngayulu kutjupa-kutjupa tjana mantaku
depressed mood,nganampa kulini pulka palumpa
mental confusion,ngangka?kanyini palya wiya
feeling unwell,kurunpa nyuntunytunpa
see a doctor,yankunytjatjara ngangkari ara.
visit the clinic,yarnangu ngurrangka watjilpai
call an ambulance,wayuta yankunytjaku utiwarrangka palyamunura.
take medicine,tjungu nyanganyi
take tablets,tjungu nyanganyi
get an injection,kulpa yankunytjaku
go to the hospital,yankunytja pitjaku
nurse examination,ankanangu yankunytjatjara tjakulataitjaku
doctor consultation,ngangka?i wangka
waiting for medication,nga?anyi nyinanyi ngangka?i-pa wiya
rest at home,ngura-ngka nyinganyi
recover,piruku
feeling better,ngayu palyanu mukuringanyi
family / community,walytja / ngura pulka
elders,piranpa tjilpi ku?tungka
ancestral homeland,ngura tjukurrpa
very good / excellent,wiru palya
feeling strong / healthy,kutju wiru / kunpu
